onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
14.217	0.050	SACC	1029.3	952.0	1031.9	1054.3	1.313	78.737	2.155	27.631
14.267	0.933	FIXA	1031.9	1054.6	1040.2	1077.4	0.311	5.696	0.847	1.444
15.200	0.033	ISAC	1048.1	1077.4	1127.3	1047.1	1.088	65.266	35.673	35.673
15.233	0.283	FIXA	1127.3	1047.1	1129.2	1045.7	0.030	5.003	1.385	1.349
15.517	0.067	ISAC	1128.8	1048.4	1205.5	1062.2	1.000	61.194	1.666	16.132
15.583	0.083	FIXA	1205.5	1062.2	1203.9	1068.4	0.082	7.263	0.000	1.930
15.667	0.083	ISAC	1203.9	1063.5	1170.0	1128.3	0.938	33.261	12.016	13.812
15.750	0.283	FIXA	1170.0	1128.3	1173.0	1128.5	0.039	4.387	1.165	1.241
16.033	0.100	ISAC	1173.0	1134.2	1229.7	1162.3	0.812	36.405	3.233	8.931
16.133	0.200	FIXA	1229.7	1163.1	1227.8	1162.0	0.028	3.760	0.962	1.127
16.333	0.033	ISAC	1226.1	1162.0	1226.1	1225.5	0.815	48.874	25.091	25.091
16.367	0.250	FIXA	1226.1	1225.5	1216.9	1210.2	0.229	2.931	0.936	1.168
16.617	0.067	ISAC	1213.9	1213.6	1194.6	1253.2	0.565	24.285	7.409	10.198
16.683	0.267	FIXA	1194.6	1253.2	1194.8	1252.5	0.009	5.388	0.693	1.476
16.950	0.067	ISAC	1195.7	1254.9	1190.4	1297.4	0.549	27.862	3.922	9.119
17.017	0.033	FIXA	1190.4	1297.4	1190.4	1297.4	0.000	0.000	0.000	0.000
17.050	0.083	SACC	1190.9	1297.4	830.4	1366.6	4.709	194.178	5.157	58.400
17.133	0.133	PURS	828.7	1361.9	827.8	1352.6	0.120	5.465	1.432	1.734
17.267	0.067	SACC	827.8	1356.6	1172.5	1299.1	4.483	252.298	9.798	68.031
17.333	0.017	LPSO	1172.5	1294.7	1172.5	1294.7	0.000	3.387	3.387	3.387
17.350	0.317	FIXA	1196.2	1294.7	1218.9	1271.6	0.415	18.241	1.585	2.760
17.667	0.050	ISAC	1218.9	1272.5	1240.7	1279.1	0.292	17.531	0.693	6.074
17.717	0.217	FIXA	1240.7	1279.5	1251.9	1279.5	0.144	4.317	0.924	1.221
17.933	0.033	ISAC	1256.8	1279.5	1268.2	1315.7	0.487	29.211	16.491	16.491
17.967	0.167	FIXA	1268.2	1315.7	1269.4	1313.3	0.034	2.459	1.154	1.073
18.133	0.050	SACC	1269.8	1315.8	1654.9	1332.0	4.944	153.622	143.236	99.602
18.183	0.017	LPSO	1654.9	1332.0	1654.9	1332.0	0.000	0.000	0.000	0.000
18.200	0.183	FIXA	1667.0	1329.8	1677.2	1330.2	0.131	9.466	2.540	2.846
18.383	0.067	SACC	1677.2	1320.6	1366.4	1301.0	3.995	145.005	51.398	61.950
18.450	0.200	FIXA	1366.4	1301.0	1370.8	1290.9	0.141	7.561	0.308	1.878
18.650	0.083	SACC	1370.8	1283.9	1259.1	1327.5	1.538	82.479	5.388	19.857
18.733	0.150	FIXA	1259.1	1327.5	1260.8	1320.9	0.087	5.117	0.770	1.220
18.883	0.100	SACC	1260.8	1321.5	1716.2	1364.9	5.868	220.939	32.434	59.393
18.983	0.117	FIXA	1716.2	1366.2	1718.7	1362.4	0.058	4.618	1.001	1.429
19.100	0.050	SACC	1718.5	1362.4	1241.4	1362.4	6.120	273.001	94.207	122.454
19.150	0.850	FIXA	1241.4	1362.9	1250.9	1343.2	0.281	7.199	0.462	1.288
20.000	0.083	SACC	1250.9	1346.2	1489.1	1310.7	3.089	132.635	2.309	37.540
20.083	0.017	HPSO	1489.1	1310.7	1489.1	1310.7	0.000	0.000	0.000	0.000
20.100	0.117	FIXA	1489.1	1321.2	1495.3	1308.7	0.179	10.789	1.462	3.795
20.217	0.100	SACC	1494.2	1312.4	1308.3	1344.7	2.420	111.688	2.383	24.826
20.317	0.167	FIXA	1308.3	1344.7	1309.4	1341.1	0.048	3.442	0.115	0.808
20.483	0.100	SACC	1305.3	1342.1	2201.7	1384.1	11.511	342.531	88.858	115.778
20.583	0.017	HPSO	2201.7	1384.1	2201.7	1384.1	0.000	0.000	0.000	0.000
20.600	0.183	FIXA	2176.6	1384.1	2162.4	1391.7	0.207	19.319	2.482	3.913
20.783	0.100	SACC	2164.3	1390.1	-32768.0	-32768.0	626.731	178.160	28.934	69.350
20.883	0.050	FIXA	-32768.0	-32768.0	-32768.0	-32768.0	0.000	0.000	0.000	0.000
20.933	0.050	SACC	-32768.0	-32768.0	1736.0	1332.3	622.293	91.205	0.000	30.402
20.983	0.017	LPSO	1737.9	1332.3	1737.9	1332.3	0.000	1.462	1.462	1.462
