subject_id,game_difficulty,world_number,time,score,experience,game_status
KR07HA,hard,15,30806.0,15804.626,3,won
KR07HA,hard,16,20295.0,15804.626,3,lost
KR07HA,hard,17,4183.0,15804.626,3,lost
KR07HA,hard,18,10841.0,15804.626,3,lost
KR07HA,hard,19,40261.0,15804.626,3,won
MA03CL,easy,0,37107.0,22514.0,4,won
MA03CL,easy,1,8755.0,22514.0,4,lost
MA03CL,easy,2,31501.0,22514.0,4,won
MA03CL,easy,3,53907.0,22514.0,4,won
MA03CL,easy,4,47618.0,22514.0,4,won
MA03CL,easy,5,49367.0,22514.0,4,won
MA03CL,easy,6,9098.0,22514.0,4,lost
MA03CL,easy,7,26953.0,22514.0,4,won
MA03CL,easy,8,49005.0,22514.0,4,won
MA03CL,easy,9,51801.0,22514.0,4,won
MA03CL,easy,10,44454.0,22514.0,4,won
MA03CL,easy,11,25208.0,22514.0,4,won
MA03CL,easy,12,49703.0,22514.0,4,won
MA03CL,easy,13,33609.0,22514.0,4,won
MA03CL,easy,14,25208.0,22514.0,4,won
MA03CL,easy,15,13303.0,22514.0,4,lost
MA03CL,easy,16,52846.0,22514.0,4,won
MA03CL,easy,17,22051.0,22514.0,4,won
MA03CL,easy,18,51107.0,22514.0,4,won
MA03CL,easy,19,32548.0,22514.0,4,won
MA03CL,normal,0,13656.0,22514.0,4,lost
MA03CL,normal,1,55660.0,22514.0,4,won
MA03CL,normal,2,74979.0,22514.0,4,timed_out
MA03CL,normal,3,53203.0,22514.0,4,won
MA03CL,normal,4,14655.0,22514.0,4,lost
MA03CL,normal,5,34640.0,22514.0,4,won
MA03CL,normal,6,73524.0,22514.0,4,lost
MA03CL,normal,7,22050.0,22514.0,4,lost
MA03CL,normal,8,54611.0,22514.0,4,won
MA03CL,normal,9,74221.0,22514.0,4,won
MA03CL,normal,10,48306.0,22514.0,4,won
MA03CL,normal,11,60587.0,22514.0,4,won
MA03CL,normal,12,23450.0,22514.0,4,lost
MA03CL,normal,13,50056.0,22514.0,4,won
MA03CL,normal,14,39895.0,22514.0,4,won
MA03CL,normal,15,27299.0,22514.0,4,won
MA03CL,normal,16,29818.0,22514.0,4,won
MA03CL,normal,17,47284.0,22514.0,4,won
MA03CL,normal,18,37104.0,22514.0,4,won
MA03CL,normal,19,38156.0,22514.0,4,won
MA03CL,hard,0,6232.0,22514.0,4,lost
MA03CL,hard,1,7974.0,22514.0,4,lost
MA03CL,hard,2,64772.0,22514.0,4,won
